level,pictureUrl,exerciseName,words,noiseLevel,noiseUrl
5,transport,Транспорт /+шум города/,(самолёт вертолёт аэроплан ракета дирижабль пароход),50,city
6,transport,Транспорт /+шум города/,(корабль лодка катер катамаран парусник яхта),50,city
7,transport,Транспорт /+шум города/,(паровоз вагон кабина место билет проход),50,city
8,transport,Транспорт /+шум города/,(водитель машинист пилот капитан проводник стюардесса),50,city
9,transport,Транспорт /+шум города/,(греметь ехать останавливаться лететь рыть катиться),50,city
10,transport,Транспорт /+шум города/,(гараж ангар депо автопарк вокзал аэропорт порт пристань платформа),50,city
11,transport,Транспорт /+шум города/,(карета телега повозка кибитка турникет перрон палуба контролер эскалатор),50,city
1,colors,Цвета и форма,(красный синий зелёный жёлтый белый чёрный),0,
2,colors,Цвета и форма,(оранжевый коричневый фиолетовый розовый голубой серый),0,
3,colors,Цвета и форма,(круг квадрат треугольник овал шестиугольник прямоугольник),0,
4,colors,Цвета и форма,(месяц звезда сердце прямая кривая ломаная),0,
5,colors,Цвета и форма,(трапеция ромб многоугольник четырехугольник пятиугольник),0,
6,colors,Цвета и форма,(малюсенький маленький средний большой огромный громадный),0,
7,colors,Цвета и форма,(малиновый салатовый персиковый бежевый молочный алый),0,
8,colors,Цвета и форма,(куб шар пирамида конус цилиндр параллелепипед),0,
9,colors,Цвета и форма,(нарисовать обвести вырезать измерить посчитать вычислить),0,
10,colors,Цвета и форма,(сфера призма эллипсоид кольцо параллелограмм луч полукруг полумесяц),0,
11,colors,Цвета и форма,(бордовый сиреневый терракотовый изумрудный хаки фуксия песочный меланж),0,
1,colors,Цвета и форма /+малый шум/,(красный синий зелёный жёлтый белый чёрный),0,6
2,colors,Цвета и форма /+малый шум/,(оранжевый коричневый фиолетовый розовый голубой серый),0,6
3,colors,Цвета и форма /+малый шум/,(круг квадрат треугольник овал шестиугольник прямоугольник),0,6
4,colors,Цвета и форма /+малый шум/,(месяц звезда сердце прямая кривая ломаная),0,6
5,colors,Цвета и форма /+малый шум/,(трапеция ромб многоугольник четырехугольник пятиугольник),0,6
6,colors,Цвета и форма /+малый шум/,(малюсенький маленький средний большой огромный громадный),0,6
7,colors,Цвета и форма /+малый шум/,(малиновый салатовый персиковый бежевый молочный алый),0,6
8,colors,Цвета и форма /+малый шум/,(куб шар пирамида конус цилиндр параллелепипед),0,6
9,colors,Цвета и форма /+малый шум/,(нарисовать обвести вырезать измерить посчитать вычислить),0,6
10,colors,Цвета и форма /+малый шум/,(сфера призма эллипсоид кольцо параллелограмм луч полукруг полумесяц),0,6
11,colors,Цвета и форма /+малый шум/,(бордовый сиреневый терракотовый изумрудный хаки фуксия песочный меланж),0,6
1,colors,Цвета и форма /+средний шум/,(красный синий зелёный жёлтый белый чёрный),0,20
2,colors,Цвета и форма /+средний шум/,(оранжевый коричневый фиолетовый розовый голубой серый),0,20
3,colors,Цвета и форма /+средний шум/,(круг квадрат треугольник овал шестиугольник прямоугольник),0,20
4,colors,Цвета и форма /+средний шум/,(месяц звезда сердце прямая кривая ломаная),0,20
5,colors,Цвета и форма /+средний шум/,(трапеция ромб многоугольник четырехугольник пятиугольник),0,20
6,colors,Цвета и форма /+средний шум/,(малюсенький маленький средний большой огромный громадный),0,20
7,colors,Цвета и форма /+средний шум/,(малиновый салатовый персиковый бежевый молочный алый),0,20
8,colors,Цвета и форма /+средний шум/,(куб шар пирамида конус цилиндр параллелепипед),0,20
9,colors,Цвета и форма /+средний шум/,(нарисовать обвести вырезать измерить посчитать вычислить),0,20
10,colors,Цвета и форма /+средний шум/,(сфера призма эллипсоид кольцо параллелограмм луч полукруг полумесяц),0,20
11,colors,Цвета и форма /+средний шум/,(бордовый сиреневый терракотовый изумрудный хаки фуксия песочный меланж),0,20
1,colors,Цвета и форма /+тяжелый шум/,(красный синий зелёный жёлтый белый чёрный),0,40
